Term,Definition,Units,OBO_term,displayed_term,Aliases
sample_ID,,,,,
name,,,,,
data_file,,,,,
experiment_type,,,,,
level,,,,,
acquisition_date-time,,,,,
CIS-3-HEXENOL_CAS,,,,,
CIS-3-HEXENOL_RT_min,,,,,
CIS-3-HEXENOL_match_factor,,,,,
CIS-3-HEXENOL_area,,,,,
tricyclene_CAS,,,,,
tricyclene_RT_min,,,,,
tricyclene_match_factor,,,,,
tricyclene_area,,,,,
ALPHA-PINENE_CAS,,,,,
ALPHA-PINENE_RT_min,,,,,
ALPHA-PINENE_match_factor,,,,,
ALPHA-PINENE_area,,,,,
TRANS-8-METHYLBICYCLO-NON-3-ENE_CAS,,,,,
TRANS-8-METHYLBICYCLO-NON-3-ENE_RT_min,,,,,
TRANS-8-METHYLBICYCLO-NON-3-ENE_match_factor,,,,,
TRANS-8-METHYLBICYCLO-NON-3-ENE_area,,,,,
CAMPHENE_CAS,,,,,
CAMPHENE_RT_min,,,,,
CAMPHENE_match_factor,,,,,
CAMPHENE_area,,,,,
2-BETA-PINENE_CAS,,,,,
2-BETA-PINENE_RT_min,,,,,
2-BETA-PINENE_match_factor,,,,,
2-BETA-PINENE_area,,,,,
Linalool_CAS,,,,,
Linalool_RT_min,,,,,
Linalool_match_factor,,,,,
Linalool_area,,,,,
3-Hexen-1-ol-acetate_CAS,,,,,
3-Hexen-1-ol-acetate_RT_min,,,,,
3-Hexen-1-ol-acetate_match_factor,,,,,
3-Hexen-1-ol-acetate_area,,,,,
Benzene_CAS,,,,,
Benzene_RT_min,,,,,
Benzene_match_factor,,,,,
Benzene_area,,,,,
MT-1_RT_min,,,,,
MT-1_area,,,,,
ALPHA_TERPINENE_CAS,,,,,
ALPHA_TERPINENE_RT_min,,,,,
ALPHA_TERPINENE_match_factor,,,,,
ALPHA_TERPINENE_area,,,,,
PARA_CYMENE_CAS,,,,,
PARA_CYMENE_RT_min,,,,,
PARA_CYMENE_match_factor,,,,,
PARA_CYMENE_area,,,,,
Bornylene_CAS,,,,,
Bornylene_RT_min,,,,,
Bornylene_match_factor,,,,,
Bornylene_area,,,,,
GAMMA_TERPINENE_CAS,,,,,
GAMMA_TERPINENE_RT_min,,,,,
GAMMA_TERPINENE_match_factor,,,,,
GAMMA_TERPINENE_area,,,,,
